iter	Passed	Remaining
0	139	139314
1	140	69980
2	140	46827
3	141	35234
4	142	28292
5	142	23669
6	143	20357
7	144	17895
8	145	15975
9	145	14440
10	146	13180
11	147	12125
12	148	11238
13	148	10474
14	149	9804
15	150	9233
16	150	8722
17	151	8274
18	152	7869
19	153	7501
20	153	7169
21	154	6868
22	155	6588
23	155	6330
24	156	6095
25	156	5876
26	157	5675
27	158	5495
28	158	5323
29	159	5161
30	160	5008
31	160	4867
32	161	4737
33	162	4611
34	162	4491
35	163	4381
36	164	4276
37	165	4177
38	165	4083
39	166	3991
40	166	3905
41	167	3822
42	168	3743
43	168	3666
44	169	3593
45	169	3523
46	170	3458
47	171	3393
48	171	3333
49	172	3275
50	172	3219
51	173	3164
52	174	3112
53	174	3061
54	175	3013
55	176	2969
56	176	2924
57	177	2880
58	178	2839
59	178	2802
60	179	2763
61	180	2725
62	180	2687
63	181	2652
64	182	2623
65	183	2591
66	183	2560
67	184	2529
68	185	2497
69	185	2467
70	186	2440
71	187	2412
72	187	2386
73	188	2362
74	189	2337
75	190	2313
76	190	2288
77	191	2264
78	192	2242
79	192	2218
80	193	2198
81	194	2177
82	195	2154
83	195	2134
84	196	2113
85	197	2094
86	197	2075
87	198	2056
88	199	2038
89	199	2019
90	200	2001
91	201	1984
92	201	1968
93	202	1951
94	203	1936
95	203	1920
96	204	1903
97	204	1886
98	205	1870
99	206	1854
100	206	1839
101	207	1825
102	207	1811
103	208	1797
104	209	1782
105	209	1768
106	210	1755
107	210	1741
108	211	1727
109	211	1714
110	212	1700
111	212	1688
112	213	1676
113	214	1664
114	214	1653
115	215	1641
116	216	1631
117	216	1621
118	217	1610
119	218	1599
120	218	1589
121	219	1577
122	219	1568
123	220	1560
124	221	1552
125	222	1542
126	222	1532
127	223	1522
128	224	1512
129	224	1503
130	225	1493
131	225	1484
132	226	1476
133	227	1468
134	228	1462
135	228	1453
136	229	1445
137	230	1437
138	230	1429
139	231	1421
140	231	1413
141	232	1404
142	233	1396
143	233	1389
144	234	1382
145	235	1376
146	235	1369
147	236	1361
148	237	1354
149	237	1347
150	238	1340
151	239	1334
152	239	1327
153	240	1320
154	241	1314
155	241	1308
156	242	1301
157	243	1295
158	243	1289
159	244	1282
160	244	1275
161	246	1272
162	246	1266
163	247	1261
164	248	1255
165	248	1249
166	249	1243
167	250	1238
168	250	1232
169	251	1227
170	252	1221
171	252	1215
172	253	1210
173	253	1204
174	254	1198
175	254	1193
176	255	1187
177	256	1182
178	256	1176
179	257	1171
180	257	1166
181	258	1161
182	259	1156
183	259	1151
184	260	1146
185	260	1141
186	261	1136
187	262	1131
188	262	1126
189	263	1122
190	264	1119
191	264	1114
192	265	1109
193	266	1105
194	266	1100
195	267	1096
196	267	1091
197	268	1086
198	268	1081
199	269	1077
200	269	1073
201	270	1068
202	271	1064
203	271	1059
204	272	1055
205	272	1052
206	273	1047
207	274	1043
208	274	1039
209	275	1036
210	276	1032
211	276	1029
212	277	1025
213	278	1021
214	278	1017
215	279	1013
216	279	1009
217	280	1005
218	280	1001
219	281	997
220	282	994
221	282	990
222	283	986
223	283	983
224	284	980
225	285	976
226	285	972
227	286	968
228	286	965
229	287	961
230	287	958
231	288	954
232	289	951
233	289	948
234	290	944
235	290	941
236	291	938
237	292	935
238	292	931
239	293	928
240	293	925
241	294	922
242	295	919
243	295	916
244	296	912
245	296	910
